indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
trends in delivery of ecosystem services directly dependent on migratory species,1,0,CMS,NA,1,1,0,1,NA,NA,ecosystems,Governance,Change in ecosystems,Nature-based legislation,CMS
trends in genetic diversity of selected species,1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,biodiversity,Change in biodiversity,Genetic diversity,CMS
trends in integration of migratory species concerns in national biodiversity strategies and action plans,1,0,CMS,NA,1,1,0,1,NA,NA,biodiversity,Governance,Change in biodiversity,Nature-based legislation,CMS
the overall conservation status of wetlands,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,RAMSAR
status and trends in wetland ecosystem extent,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,RAMSAR
trends in conservation status - qualitative assessment,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,RAMSAR
the status of the ecological character of ramsar sites,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,RAMSAR
trends in the status of ramsar site ecological character - qualitative assessment,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (freshwater/coastal),NA,RAMSAR
trends in water quality,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,RAMSAR
trends in dissolved nitrate (or nitrogen) concentration,1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,RAMSAR
trends in biological oxygen demand (bod),1,0,RAMSAR,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,RAMSAR
